,order,Date,Price,Open,High,Low,Change %,volatility
54,728,"Mar 17, 2017",1.0738,1.0765,1.0784,1.0728,-0.26%,0.6165917658309518
55,727,"Mar 20, 2017",1.0739,1.074,1.0779,1.0725,0.01%,0.6625360042028859
56,726,"Mar 21, 2017",1.0811,1.074,1.0822,1.072,0.67%,0.2703558084764866
57,725,"Mar 22, 2017",1.0797,1.081,1.0827,1.0776,-0.13%,0.5056461043409967
58,724,"Mar 23, 2017",1.0783,1.0797,1.0807,1.0769,-0.13%,0.673881030279635
59,723,"Mar 24, 2017",1.0799,1.0784,1.082,1.0761,0.15%,0.8497495139403441
60,722,"Mar 27, 2017",1.0865,1.0797,1.0905,1.0795,0.61%,1.4254068364049701
61,721,"Mar 28, 2017",1.0813,1.0864,1.0873,1.0797,-0.48%,1.1543817967731216
62,720,"Mar 29, 2017",1.0767,1.0811,1.0827,1.0739,-0.43%,0.8984079817518814
63,719,"Mar 30, 2017",1.0675,1.0765,1.0772,1.0671,-0.85%,0.3335736546091667
64,718,"Mar 31, 2017",1.0652,1.0675,1.0705,1.0652,-0.22%,0.31756752203214184
65,717,"Apr 03, 2017",1.0671,1.0659999999999998,1.0683,1.0643,0.18%,0.47188134084728106
66,716,"Apr 04, 2017",1.0674,1.0669,1.0678,1.0635,0.03%,0.49331618189124493
67,715,"Apr 05, 2017",1.0663,1.0672,1.069,1.0633,-0.10%,0.4526875508261129
68,714,"Apr 06, 2017",1.0644,1.0663,1.0687,1.063,-0.18%,0.3441320773186713
69,713,"Apr 07, 2017",1.0590000000000002,1.0644,1.0668,1.058,-0.51%,0.3537702425992958
70,712,"Apr 10, 2017",1.0596,1.0593,1.0609,1.0571,0.06%,0.5836131974964266
71,711,"Apr 11, 2017",1.0602,1.0595,1.0631,1.0577,0.06%,0.6700549384785132
72,710,"Apr 12, 2017",1.0666,1.0606,1.0677,1.0589,0.60%,0.4397396841482485
73,709,"Apr 13, 2017",1.0614,1.0664,1.0679,1.0609,-0.49%,0.7822778904013199
74,708,"Apr 14, 2017",1.0612,1.0615,1.0633,1.0607,-0.02%,1.2112979019058259
75,707,"Apr 17, 2017",1.0643,1.0615,1.0674,1.0603,0.29%,1.4040875582116206
76,706,"Apr 18, 2017",1.0734,1.0643,1.0737,1.0636,0.86%,1.021964192151372
77,705,"Apr 19, 2017",1.0711,1.073,1.0738,1.07,-0.21%,1.2932136646189263
78,704,"Apr 20, 2017",1.0717,1.0711,1.078,1.0709,0.06%,1.4015769340963369
79,703,"Apr 21, 2017",1.0728,1.0719,1.0739,1.0682,0.10%,1.4451652003676811
80,702,"Apr 24, 2017",1.0868,1.089,1.0936,1.0819,1.30%,0.35226948999622515
81,701,"Apr 25, 2017",1.0926,1.0868,1.0951,1.0851,0.53%,0.28114230087646785
82,700,"Apr 26, 2017",1.0903,1.0924,1.0951,1.0856,-0.21%,0.3208440597185181
83,699,"Apr 27, 2017",1.0873,1.0903,1.0933,1.0851,-0.28%,0.6275530361873072
84,698,"Apr 28, 2017",1.0897,1.0877,1.0949,1.0857,0.22%,0.48727440218001544
85,697,"May 01, 2017",1.0899,1.0906,1.0924,1.0883,0.02%,0.4834307291272891
86,696,"May 02, 2017",1.093,1.0901,1.0936,1.0889,0.28%,0.4452830643140023
87,695,"May 03, 2017",1.0885,1.093,1.0939,1.0883,-0.41%,0.5498703933252836
88,694,"May 04, 2017",1.0984,1.0884,1.0987,1.0874,0.91%,0.7482989102720199
89,693,"May 05, 2017",1.0998,1.0991,1.1002,1.0951,0.13%,0.852535519122839
90,692,"May 08, 2017",1.0924,1.0998,1.1024,1.0917,-0.67%,0.6675005666105518
91,691,"May 09, 2017",1.0874,1.0923,1.0935,1.0862,-0.46%,1.291896330942101
92,690,"May 10, 2017",1.0868,1.0874,1.09,1.0853,-0.06%,1.559846557441451
93,689,"May 11, 2017",1.0861,1.0869,1.0894,1.0838,-0.06%,2.0106570139215254
94,688,"May 12, 2017",1.0931,1.0863,1.0937,1.0857,0.64%,1.8189434916703717
95,687,"May 15, 2017",1.0975,1.0926,1.0991,1.0922,0.40%,1.644229511469814
96,686,"May 16, 2017",1.1082,1.0976,1.1098,1.0972,0.97%,0.9359081000700468
97,685,"May 17, 2017",1.1159,1.1083,1.1163,1.1079,0.69%,0.4614518461012535
98,684,"May 18, 2017",1.1103,1.1159999999999999,1.1173,1.1075,-0.50%,0.880889849397601
99,683,"May 19, 2017",1.1207,1.1103,1.1214,1.1097,0.94%,0.21428461088469916
100,682,"May 22, 2017",1.1238,1.1202,1.1265,1.1162,0.28%,0.4157145308655752
101,681,"May 23, 2017",1.1183,1.1237,1.1268,1.1174,-0.49%,0.2619736536550819
102,680,"May 24, 2017",1.1219,1.1184,1.1222,1.1169,0.32%,0.2619142090052425
103,679,"May 25, 2017",1.1211,1.1219,1.1252,1.1194,-0.07%,0.33109890419513927
104,678,"May 26, 2017",1.1183,1.1211,1.1235,1.1159,-0.25%,0.47573792594422354
105,677,"May 29, 2017",1.1165,1.1179,1.1192,1.1159999999999999,-0.16%,0.7048014127169931
106,676,"May 30, 2017",1.1185,1.1165,1.1207,1.1111,0.18%,0.6072241198675439
107,675,"May 31, 2017",1.1243,1.1186,1.1255,1.1165,0.52%,0.23356481444705876
