,order,Date,Price,Open,High,Low,Vol.,Change %,volatility
90,703,"May 04, 2017","1,284.50","1,284.50","1,284.50","1,284.50",0.07K,-1.55%,0.48771039287639717
91,702,"May 05, 2017","1,282.90","1,282.90","1,282.90","1,282.90",0.02K,-0.12%,0.41149498651662136
92,701,"May 08, 2017","1,283.20","1,283.20","1,283.20","1,283.20",0.04K,0.02%,0.48947346469582853
93,700,"May 09, 2017","1,272.20","1,279.80","1,279.80","1,271.60",0.00K,-0.86%,1.457753686414836
94,699,"May 10, 2017","1,274.70","1,274.70","1,274.70","1,274.70",0.01K,0.20%,1.6166376611700575
95,698,"May 11, 2017","1,280.00","1,280.00","1,280.00","1,280.00",0.17K,0.42%,1.5331165737058035
96,697,"May 12, 2017","1,282.80","1,282.80","1,282.80","1,282.80",0.02K,0.22%,1.6647589561311866
97,696,"May 15, 2017","1,285.10","1,285.10","1,285.10","1,285.10",0.01K,0.18%,1.6756847911122328
98,695,"May 16, 2017","1,291.50","1,288.00","1,289.00","1,288.00",0.01K,0.50%,1.321451831887742
99,694,"May 17, 2017","1,313.30","1,299.70","1,312.20","1,299.70",0.01K,1.69%,0.36335504477438024
100,693,"May 18, 2017","1,306.30","1,306.30","1,306.30","1,306.30",0.01K,-0.53%,0.5387937512569375
101,692,"May 19, 2017","1,307.00","1,307.00","1,307.00","1,307.00",0.01K,0.05%,1.2296128923681156
102,691,"May 22, 2017","1,315.10","1,315.10","1,315.10","1,315.10",0.01K,0.62%,1.973124087374037
103,690,"May 23, 2017","1,309.20","1,309.20","1,309.20","1,309.20",0.02K,-0.45%,1.7570235009131145
104,689,"May 24, 2017","1,306.80","1,306.80","1,306.80","1,306.80",0.01K,-0.18%,1.7782289154078328
105,688,"May 25, 2017","1,310.40","1,310.10","1,310.10","1,310.10",0.00K,0.28%,1.8658511855066502
106,687,"May 26, 2017","1,321.90","1,322.10","1,322.10","1,322.10",0.00K,0.88%,2.2234825575111135
107,686,"May 28, 2017","1,268.22","1,266.31","1,269.02","1,266.31",-,-4.06%,3.8059414097894178
108,685,"May 29, 2017","1,266.69","1,268.02","1,268.60","1,264.96",-,-0.12%,4.5889892375377235
109,684,"May 30, 2017","1,316.20","1,316.20","1,316.20","1,316.20",129.82K,3.91%,1.3562141155863618
110,683,"May 31, 2017","1,325.60","1,325.60","1,325.60","1,325.60",2.71K,0.71%,0.8390103896352792
111,682,"Jun 01, 2017","1,320.30","1,320.30","1,320.30","1,320.30",0.00K,-0.40%,1.126307097792617
112,681,"Jun 02, 2017","1,330.20","1,321.90","1,321.90","1,321.90",0.00K,0.75%,0.7347945627619908
113,680,"Jun 05, 2017","1,332.70","1,332.70","1,332.70","1,332.70",0.00K,0.19%,0.8336871312710579
114,679,"Jun 06, 2017","1,347.10","1,347.10","1,347.10","1,347.10",0.94K,1.08%,1.5735083923968878
115,678,"Jun 07, 2017","1,342.70","1,342.70","1,342.70","1,342.70",0.64K,-0.33%,1.69902041135335
116,677,"Jun 08, 2017","1,329.00","1,329.00","1,329.00","1,329.00",0.32K,-1.02%,1.089873975382279
117,676,"Jun 09, 2017","1,321.00","1,321.00","1,321.00","1,321.00",0.47K,-0.60%,0.9807698251982848
118,675,"Jun 12, 2017","1,318.60","1,318.60","1,318.60","1,318.60",0.26K,-0.18%,1.1509865882508454
119,674,"Jun 13, 2017","1,318.30","1,318.30","1,318.30","1,318.30",0.15K,-0.02%,1.3240663780203448
120,673,"Jun 14, 2017","1,325.30","1,322.50","1,322.50","1,322.50",0.01K,0.53%,1.902255993225711
121,672,"Jun 15, 2017","1,303.90","1,303.90","1,303.90","1,303.90",0.74K,-1.61%,0.5159319541100276
122,671,"Jun 16, 2017","1,305.80","1,305.80","1,305.80","1,305.80",0.03K,0.15%,0.687425151093041
123,670,"Jun 19, 2017","1,296.10","1,295.00","1,297.90","1,295.00",0.01K,-0.74%,0.30050678333694425
124,669,"Jun 20, 2017","1,292.50","1,297.60","1,297.60","1,297.60",0.00K,-0.28%,0.47111935294552953
125,668,"Jun 21, 2017","1,294.60","1,294.60","1,294.60","1,294.60",0.00K,0.16%,0.35473389473830486
126,667,"Jun 22, 2017","1,298.10","1,298.10","1,298.10","1,298.10",0.16K,0.27%,0.3095015543220472
127,666,"Jun 23, 2017","1,305.40","1,305.40","1,305.40","1,305.40",0.27K,0.56%,1.2540858310904643
