,order,Date,Price,Open,High,Low,Change %,volatility
63,719,"Mar 30, 2017",111.92,111.06,111.97,110.94,0.78%,0.83774421697565
64,718,"Mar 31, 2017",111.39,111.92,112.2,111.22,-0.47%,0.45232281082764186
65,717,"Apr 03, 2017",110.89,111.41,111.61,110.84,-0.45%,0.4457013532190736
66,716,"Apr 04, 2017",110.75,110.89,110.97,110.27,-0.13%,0.7142320632258259
67,715,"Apr 05, 2017",110.7,110.77,111.47,110.53,-0.05%,0.887327389482335
68,714,"Apr 06, 2017",110.81,110.69,111.14,110.28,0.10%,1.1980211528110958
69,713,"Apr 07, 2017",111.07,110.81,111.38,110.13,0.23%,1.5509304391878584
70,712,"Apr 10, 2017",110.94,111.09,111.58,110.78,-0.12%,1.6888979025385034
71,711,"Apr 11, 2017",109.62,110.94,110.97,109.6,-1.19%,0.6991014496605005
72,710,"Apr 12, 2017",109.03,109.63,109.89,108.96,-0.54%,0.280602743112507
73,709,"Apr 13, 2017",109.09,109.02,109.41,108.72,0.06%,0.30789108016249095
74,708,"Apr 14, 2017",108.64,109.09,109.25,108.55,-0.41%,0.5044748885917677
75,707,"Apr 17, 2017",108.91,108.67,109.06,108.12,0.25%,0.8452188035193294
76,706,"Apr 18, 2017",108.42,108.92,109.23,108.31,-0.45%,1.4525093582492867
77,705,"Apr 19, 2017",108.86,108.42,109.19,108.36,0.41%,1.4192509026177924
78,704,"Apr 20, 2017",109.32,108.85,109.49,108.7,0.42%,1.3477706648232037
79,703,"Apr 21, 2017",109.08,109.33,109.44,108.86,-0.22%,1.7988498080249107
80,702,"Apr 24, 2017",109.77,110.25,110.64,109.64,0.63%,1.4605955296113293
81,701,"Apr 25, 2017",111.09,109.77,111.19,109.58,1.20%,0.7100273517789125
82,700,"Apr 26, 2017",111.06,111.11,111.8,110.88,-0.03%,0.8713306107936456
83,699,"Apr 27, 2017",111.27,111.06,111.61,111.0,0.19%,0.8737431187372457
84,698,"Apr 28, 2017",111.55,111.25,111.72,111.06,0.25%,0.8832997153281682
85,697,"May 01, 2017",111.84,111.3,111.93,111.19,0.26%,0.9895793551785369
86,696,"May 02, 2017",111.98,111.86,112.33,111.78,0.13%,1.1824969737138835
87,695,"May 03, 2017",112.75,112.0,112.8,111.95,0.69%,0.7804950038542656
88,694,"May 04, 2017",112.46,112.74,113.05,112.3,-0.26%,1.010999161112573
89,693,"May 05, 2017",112.72,112.45,112.83,112.08,0.23%,0.8940784716964227
90,692,"May 08, 2017",113.25,112.98,113.31,112.38,0.47%,0.5030345524515004
91,691,"May 09, 2017",113.98,113.25,114.33,113.11,0.64%,1.1136827070697204
92,690,"May 10, 2017",114.28,113.98,114.36,113.62,0.26%,1.5637737313034792
93,689,"May 11, 2017",113.86,114.31,114.39,113.47,-0.37%,1.5673078821490307
94,688,"May 12, 2017",113.34,113.86,113.97,113.19,-0.46%,1.4298099920458665
95,687,"May 15, 2017",113.78,113.19,113.86,113.11,0.39%,1.8434535796944358
96,686,"May 16, 2017",113.12,113.78,113.8,112.91,-0.58%,1.4576671339312175
97,685,"May 17, 2017",110.82,113.13,113.14,110.78,-2.03%,0.6203665941808936
98,684,"May 18, 2017",111.5,110.83,111.73,110.23,0.61%,0.18606970900905845
99,683,"May 19, 2017",111.28,111.48,111.7,111.03,-0.20%,0.2642525579615729
100,682,"May 22, 2017",111.3,111.33,111.62,110.89,0.02%,0.29546344375270234
101,681,"May 23, 2017",111.78,111.31,111.86,110.86,0.43%,0.5249009692792858
102,680,"May 24, 2017",111.5,111.76,112.12,111.46,-0.25%,0.3639279576675735
103,679,"May 25, 2017",111.83,111.48,111.95,111.47,0.30%,0.7433206696014335
104,678,"May 26, 2017",111.34,111.86,111.89,110.89,-0.44%,0.499353756441287
105,677,"May 29, 2017",111.26,111.32,111.48,111.16,-0.07%,0.7717315067893252
106,676,"May 30, 2017",110.85,111.27,111.35,110.67,-0.37%,0.6602401967353552
107,675,"May 31, 2017",110.78,110.86,111.25,110.47,-0.06%,0.6813708163204859
108,674,"Jun 01, 2017",111.36,110.77,111.48,110.67,0.52%,1.113893635429897
109,673,"Jun 02, 2017",110.42,111.34,111.72,110.31,-0.84%,0.46024644174110807
110,672,"Jun 05, 2017",110.47,110.36,110.73,110.25,0.05%,0.5118314453961145
111,671,"Jun 06, 2017",109.41,110.44,110.52,109.2,-0.96%,0.502803099076712
112,670,"Jun 07, 2017",109.81,109.44,109.91,109.11,0.37%,0.45289262955279397
113,669,"Jun 08, 2017",110.0,109.83,110.42,109.39,0.17%,0.47657029323277317
114,668,"Jun 09, 2017",110.34,110.0,110.81,109.75,0.31%,0.5789927432356001
115,667,"Jun 12, 2017",109.94,110.36,110.44,109.61,-0.36%,0.8945850873776329
116,666,"Jun 13, 2017",110.07,109.95,110.28,109.82,0.12%,0.9306761987887818
117,665,"Jun 14, 2017",109.58,110.06,110.36,108.83,-0.45%,1.4243443146189674
118,664,"Jun 15, 2017",110.94,109.56,111.0,109.28,1.24%,0.3528596172974932
119,663,"Jun 16, 2017",110.86,110.92,111.44,110.64,-0.07%,0.530584073107812
120,662,"Jun 19, 2017",111.53,110.83,111.61,110.75,0.60%,0.3238487530645943
121,661,"Jun 20, 2017",111.44,111.53,111.81,111.31,-0.08%,0.45303488380931894
122,660,"Jun 21, 2017",111.38,111.45,111.73,111.05,-0.05%,0.5543934024666751
123,659,"Jun 22, 2017",111.33,111.35,111.45,110.93,-0.04%,0.6864687504101278
124,658,"Jun 23, 2017",111.29,111.35,111.45,111.16,-0.04%,1.0107769303319574
125,657,"Jun 26, 2017",111.84,111.11,111.94,111.11,0.49%,0.7828000177603845
126,656,"Jun 27, 2017",112.36,111.88,112.47,111.45,0.46%,0.5600414800661954
127,655,"Jun 28, 2017",112.3,112.36,112.43,111.83,-0.05%,0.6694718138887282
128,654,"Jun 29, 2017",112.18,112.31,112.94,111.81,-0.11%,0.9474714421254891
129,653,"Jun 30, 2017",112.38,112.19,112.62,111.74,0.18%,0.9726486377070347
130,652,"Jul 03, 2017",113.39,112.14,113.48,111.94,0.90%,0.33836010394657257
131,651,"Jul 04, 2017",113.28,113.38,113.48,112.73,-0.10%,0.395265105291329
132,650,"Jul 05, 2017",113.27,113.28,113.69,112.81,-0.01%,0.400546554382464
133,649,"Jul 06, 2017",113.22,113.27,113.48,112.89,-0.04%,0.486410371395323
134,648,"Jul 07, 2017",113.89,113.19,114.19,113.08,0.59%,0.6915368026629883
135,647,"Jul 10, 2017",114.04,113.97,114.3,113.85,0.13%,1.0185089801441265
136,646,"Jul 11, 2017",113.94,114.05,114.51,113.72,-0.09%,1.152113401004906
137,645,"Jul 12, 2017",113.16,113.94,113.98,112.92,-0.68%,0.7338092710781896
138,644,"Jul 13, 2017",113.28,113.16,113.53,112.86,0.11%,1.0899189278386827
139,643,"Jul 14, 2017",112.53,113.29,113.6,112.27,-0.66%,0.7447957357576906
140,642,"Jul 17, 2017",112.64,112.5,112.88,112.31,0.10%,0.8560953656749082
141,641,"Jul 18, 2017",112.08,112.62,112.72,111.67,-0.50%,0.5610251939988841
142,640,"Jul 19, 2017",111.97,112.08,112.25,111.56,-0.10%,0.547480247418181
143,639,"Jul 20, 2017",111.91,111.98,112.43,111.48,-0.05%,0.657101164186377
144,638,"Jul 21, 2017",111.12,111.92,112.09,111.0,-0.71%,0.4264394646642674
145,637,"Jul 24, 2017",111.11,111.06,111.31,110.61,-0.01%,0.4961490937750956
146,636,"Jul 25, 2017",111.89,111.08,111.96,110.81,0.70%,1.0016497676956364
147,635,"Jul 26, 2017",111.17,111.89,112.2,111.06,-0.64%,0.608844073763953
148,634,"Jul 27, 2017",111.25,111.18,111.73,110.78,0.07%,0.6923182513211783
149,633,"Jul 28, 2017",110.67,111.28,111.34,110.55,-0.52%,0.2789855004142799
150,632,"Jul 31, 2017",110.25,110.64,110.78,110.19,-0.38%,0.2928495459289728
151,631,"Aug 01, 2017",110.36,110.25,110.59,109.92,0.10%,0.259678170340316
152,630,"Aug 02, 2017",110.73,110.36,111.0,110.28,0.34%,0.6241368850477893
153,629,"Aug 03, 2017",110.05,110.72,110.84,109.86,-0.61%,0.5316902673699986
154,628,"Aug 04, 2017",110.69,110.03,111.06,109.83,0.58%,0.8387397987860509
155,627,"Aug 07, 2017",110.75,110.61,110.92,110.61,0.05%,0.8804355883515109
156,626,"Aug 08, 2017",110.31,110.73,110.83,110.23,-0.40%,0.6021377232538279
157,625,"Aug 09, 2017",110.08,110.31,110.39,109.56,-0.21%,0.5258592716831019
158,624,"Aug 10, 2017",109.22,110.08,110.19,109.14,-0.78%,0.6328320058121398
159,623,"Aug 11, 2017",109.19,109.22,109.44,108.77,-0.03%,0.6550802840068463
160,622,"Aug 14, 2017",109.64,109.06,109.81,109.03,0.41%,0.4889003857480729
161,621,"Aug 15, 2017",110.67,109.64,110.86,109.59,0.94%,1.1006663335501898
162,620,"Aug 16, 2017",110.19,110.67,110.95,110.02,-0.43%,0.7651080966365813
163,619,"Aug 17, 2017",109.57,110.2,110.37,109.43,-0.56%,0.313944695161399
164,618,"Aug 18, 2017",109.19,109.58,109.61,108.61,-0.35%,0.2143634796703566
165,617,"Aug 21, 2017",108.98,109.34,109.43,108.62,-0.19%,0.4243694243851463
166,616,"Aug 22, 2017",109.57,108.97,109.65,108.87,0.54%,0.32837595381419266
167,615,"Aug 23, 2017",109.03,109.56,109.83,108.92,-0.49%,0.6278488889342321
168,614,"Aug 24, 2017",109.56,109.06,109.61,108.83,0.49%,0.39232735938782887
169,613,"Aug 25, 2017",109.36,109.56,109.86,109.11,-0.18%,0.5202279490123262
170,612,"Aug 28, 2017",109.25,109.26,109.42,109.03,-0.10%,0.6191576227185274
171,611,"Aug 29, 2017",109.75,109.27,109.91,108.27,0.46%,0.449461010945284
172,610,"Aug 30, 2017",110.23,109.75,110.44,109.53,0.44%,0.8737972197003149
173,609,"Aug 31, 2017",109.97,110.25,110.67,109.89,-0.24%,1.02439243800685
