order,Date,Price,Open,High,Low,Vol.,Change %
716,"Apr 17, 2017","1,346.90","1,346.90","1,346.90","1,346.90",0.07K,4.44%
715,"Apr 18, 2017","1,348.00","1,348.00","1,348.00","1,348.00",0.00K,0.08%
714,"Apr 19, 2017","1,337.60","1,338.50","1,338.50","1,338.50",0.00K,-0.77%
713,"Apr 20, 2017","1,338.80","1,338.80","1,338.80","1,338.80",0.05K,0.09%
712,"Apr 21, 2017","1,344.10","1,344.10","1,344.10","1,344.10",0.47K,0.40%
711,"Apr 24, 2017","1,332.90","1,335.00","1,335.00","1,335.00",0.01K,-0.83%
710,"Apr 25, 2017","1,323.10","1,323.10","1,323.10","1,323.10",0.36K,-0.74%
709,"Apr 26, 2017","1,320.10","1,320.10","1,320.10","1,320.10",0.10K,-0.23%
708,"Apr 27, 2017","1,321.80","1,321.80","1,321.80","1,321.80",0.21K,0.13%
707,"Apr 28, 2017","1,324.20","1,324.20","1,324.20","1,324.20",0.09K,0.18%
706,"May 01, 2017","1,311.70","1,311.70","1,311.70","1,311.70",0.03K,-0.94%
705,"May 02, 2017","1,313.20","1,311.80","1,315.10","1,311.80",0.01K,0.11%
704,"May 03, 2017","1,304.70","1,305.80","1,305.80","1,305.80",0.00K,-0.65%
703,"May 04, 2017","1,284.50","1,284.50","1,284.50","1,284.50",0.07K,-1.55%
702,"May 05, 2017","1,282.90","1,282.90","1,282.90","1,282.90",0.02K,-0.12%
701,"May 08, 2017","1,283.20","1,283.20","1,283.20","1,283.20",0.04K,0.02%
700,"May 09, 2017","1,272.20","1,279.80","1,279.80","1,271.60",0.00K,-0.86%
699,"May 10, 2017","1,274.70","1,274.70","1,274.70","1,274.70",0.01K,0.20%
698,"May 11, 2017","1,280.00","1,280.00","1,280.00","1,280.00",0.17K,0.42%
697,"May 12, 2017","1,282.80","1,282.80","1,282.80","1,282.80",0.02K,0.22%
696,"May 15, 2017","1,285.10","1,285.10","1,285.10","1,285.10",0.01K,0.18%
695,"May 16, 2017","1,291.50","1,288.00","1,289.00","1,288.00",0.01K,0.50%
694,"May 17, 2017","1,313.30","1,299.70","1,312.20","1,299.70",0.01K,1.69%
693,"May 18, 2017","1,306.30","1,306.30","1,306.30","1,306.30",0.01K,-0.53%
692,"May 19, 2017","1,307.00","1,307.00","1,307.00","1,307.00",0.01K,0.05%
691,"May 22, 2017","1,315.10","1,315.10","1,315.10","1,315.10",0.01K,0.62%
690,"May 23, 2017","1,309.20","1,309.20","1,309.20","1,309.20",0.02K,-0.45%
689,"May 24, 2017","1,306.80","1,306.80","1,306.80","1,306.80",0.01K,-0.18%
688,"May 25, 2017","1,310.40","1,310.10","1,310.10","1,310.10",0.00K,0.28%
687,"May 26, 2017","1,321.90","1,322.10","1,322.10","1,322.10",0.00K,0.88%
686,"May 28, 2017","1,268.22","1,266.31","1,269.02","1,266.31",-,-4.06%
685,"May 29, 2017","1,266.69","1,268.02","1,268.60","1,264.96",-,-0.12%
684,"May 30, 2017","1,316.20","1,316.20","1,316.20","1,316.20",129.82K,3.91%
683,"May 31, 2017","1,325.60","1,325.60","1,325.60","1,325.60",2.71K,0.71%
682,"Jun 01, 2017","1,320.30","1,320.30","1,320.30","1,320.30",0.00K,-0.40%
681,"Jun 02, 2017","1,330.20","1,321.90","1,321.90","1,321.90",0.00K,0.75%
680,"Jun 05, 2017","1,332.70","1,332.70","1,332.70","1,332.70",0.00K,0.19%
679,"Jun 06, 2017","1,347.10","1,347.10","1,347.10","1,347.10",0.94K,1.08%
678,"Jun 07, 2017","1,342.70","1,342.70","1,342.70","1,342.70",0.64K,-0.33%
677,"Jun 08, 2017","1,329.00","1,329.00","1,329.00","1,329.00",0.32K,-1.02%
676,"Jun 09, 2017","1,321.00","1,321.00","1,321.00","1,321.00",0.47K,-0.60%
675,"Jun 12, 2017","1,318.60","1,318.60","1,318.60","1,318.60",0.26K,-0.18%
674,"Jun 13, 2017","1,318.30","1,318.30","1,318.30","1,318.30",0.15K,-0.02%
