order,Date,Price,Open,High,Low,Change %
740,"Mar 01, 2017",113.73,112.78,114.06,112.73,0.84%
739,"Mar 02, 2017",114.41,113.75,114.61,113.69,0.60%
738,"Mar 03, 2017",114.02,114.42,114.77,113.83,-0.34%
737,"Mar 06, 2017",113.89,114.02,114.14,113.55,-0.11%
736,"Mar 07, 2017",113.98,113.89,114.17,113.72,0.08%
735,"Mar 08, 2017",114.35,113.99,114.77,113.61,0.32%
734,"Mar 09, 2017",114.94,114.38,115.03,114.33,0.52%
733,"Mar 10, 2017",114.75,114.94,115.51,114.63,-0.17%
732,"Mar 13, 2017",114.88,114.81,114.93,114.47,0.11%
731,"Mar 14, 2017",114.75,114.88,115.2,114.5,-0.11%
730,"Mar 15, 2017",113.38,114.75,114.91,113.18,-1.19%
729,"Mar 16, 2017",113.31,113.36,113.56,112.91,-0.06%
728,"Mar 17, 2017",112.72,113.31,113.5,112.55,-0.52%
727,"Mar 20, 2017",112.56,112.69,112.89,112.44,-0.14%
726,"Mar 21, 2017",111.72,112.55,112.88,111.55,-0.75%
725,"Mar 22, 2017",111.16,111.7,111.81,110.72,-0.50%
724,"Mar 23, 2017",110.94,111.17,111.58,110.61,-0.20%
723,"Mar 24, 2017",111.34,110.94,111.5,110.61,0.36%
722,"Mar 27, 2017",110.66,111.23,111.27,110.1,-0.61%
721,"Mar 28, 2017",111.16,110.69,111.22,110.19,0.45%
720,"Mar 29, 2017",111.05,111.14,111.33,110.7,-0.10%
719,"Mar 30, 2017",111.92,111.06,111.97,110.94,0.78%
718,"Mar 31, 2017",111.39,111.92,112.2,111.22,-0.47%
717,"Apr 03, 2017",110.89,111.41,111.61,110.84,-0.45%
716,"Apr 04, 2017",110.75,110.89,110.97,110.27,-0.13%
715,"Apr 05, 2017",110.7,110.77,111.47,110.53,-0.05%
714,"Apr 06, 2017",110.81,110.69,111.14,110.28,0.10%
713,"Apr 07, 2017",111.07,110.81,111.38,110.13,0.23%
712,"Apr 10, 2017",110.94,111.09,111.58,110.78,-0.12%
711,"Apr 11, 2017",109.62,110.94,110.97,109.6,-1.19%
710,"Apr 12, 2017",109.03,109.63,109.89,108.96,-0.54%
709,"Apr 13, 2017",109.09,109.02,109.41,108.72,0.06%
708,"Apr 14, 2017",108.64,109.09,109.25,108.55,-0.41%
707,"Apr 17, 2017",108.91,108.67,109.06,108.12,0.25%
706,"Apr 18, 2017",108.42,108.92,109.23,108.31,-0.45%
705,"Apr 19, 2017",108.86,108.42,109.19,108.36,0.41%
704,"Apr 20, 2017",109.32,108.85,109.49,108.7,0.42%
703,"Apr 21, 2017",109.08,109.33,109.44,108.86,-0.22%
702,"Apr 24, 2017",109.77,110.25,110.64,109.64,0.63%
701,"Apr 25, 2017",111.09,109.77,111.19,109.58,1.20%
700,"Apr 26, 2017",111.06,111.11,111.8,110.88,-0.03%
699,"Apr 27, 2017",111.27,111.06,111.61,111,0.19%
698,"Apr 28, 2017",111.55,111.25,111.72,111.06,0.25%
697,"May 01, 2017",111.84,111.3,111.93,111.19,0.26%
696,"May 02, 2017",111.98,111.86,112.33,111.78,0.13%
695,"May 03, 2017",112.75,112,112.8,111.95,0.69%
694,"May 04, 2017",112.46,112.74,113.05,112.3,-0.26%
693,"May 05, 2017",112.72,112.45,112.83,112.08,0.23%
692,"May 08, 2017",113.25,112.98,113.31,112.38,0.47%
691,"May 09, 2017",113.98,113.25,114.33,113.11,0.64%
690,"May 10, 2017",114.28,113.98,114.36,113.62,0.26%
689,"May 11, 2017",113.86,114.31,114.39,113.47,-0.37%
688,"May 12, 2017",113.34,113.86,113.97,113.19,-0.46%
687,"May 15, 2017",113.78,113.19,113.86,113.11,0.39%
686,"May 16, 2017",113.12,113.78,113.8,112.91,-0.58%
685,"May 17, 2017",110.82,113.13,113.14,110.78,-2.03%
684,"May 18, 2017",111.5,110.83,111.73,110.23,0.61%
683,"May 19, 2017",111.28,111.48,111.7,111.03,-0.20%
682,"May 22, 2017",111.3,111.33,111.62,110.89,0.02%
681,"May 23, 2017",111.78,111.31,111.86,110.86,0.43%
680,"May 24, 2017",111.5,111.76,112.12,111.46,-0.25%
679,"May 25, 2017",111.83,111.48,111.95,111.47,0.30%
678,"May 26, 2017",111.34,111.86,111.89,110.89,-0.44%
677,"May 29, 2017",111.26,111.32,111.48,111.16,-0.07%
676,"May 30, 2017",110.85,111.27,111.35,110.67,-0.37%
675,"May 31, 2017",110.78,110.86,111.25,110.47,-0.06%
674,"Jun 01, 2017",111.36,110.77,111.48,110.67,0.52%
673,"Jun 02, 2017",110.42,111.34,111.72,110.31,-0.84%
672,"Jun 05, 2017",110.47,110.36,110.73,110.25,0.05%
671,"Jun 06, 2017",109.41,110.44,110.52,109.2,-0.96%
670,"Jun 07, 2017",109.81,109.44,109.91,109.11,0.37%
669,"Jun 08, 2017",110,109.83,110.42,109.39,0.17%
668,"Jun 09, 2017",110.34,110,110.81,109.75,0.31%
667,"Jun 12, 2017",109.94,110.36,110.44,109.61,-0.36%
666,"Jun 13, 2017",110.07,109.95,110.28,109.82,0.12%
665,"Jun 14, 2017",109.58,110.06,110.36,108.83,-0.45%
664,"Jun 15, 2017",110.94,109.56,111,109.28,1.24%
663,"Jun 16, 2017",110.86,110.92,111.44,110.64,-0.07%
662,"Jun 19, 2017",111.53,110.83,111.61,110.75,0.60%
661,"Jun 20, 2017",111.44,111.53,111.81,111.31,-0.08%
660,"Jun 21, 2017",111.38,111.45,111.73,111.05,-0.05%
659,"Jun 22, 2017",111.33,111.35,111.45,110.93,-0.04%
658,"Jun 23, 2017",111.29,111.35,111.45,111.16,-0.04%
657,"Jun 26, 2017",111.84,111.11,111.94,111.11,0.49%
656,"Jun 27, 2017",112.36,111.88,112.47,111.45,0.46%
655,"Jun 28, 2017",112.3,112.36,112.43,111.83,-0.05%
654,"Jun 29, 2017",112.18,112.31,112.94,111.81,-0.11%
653,"Jun 30, 2017",112.38,112.19,112.62,111.74,0.18%
652,"Jul 03, 2017",113.39,112.14,113.48,111.94,0.90%
651,"Jul 04, 2017",113.28,113.38,113.48,112.73,-0.10%
650,"Jul 05, 2017",113.27,113.28,113.69,112.81,-0.01%
649,"Jul 06, 2017",113.22,113.27,113.48,112.89,-0.04%
648,"Jul 07, 2017",113.89,113.19,114.19,113.08,0.59%
647,"Jul 10, 2017",114.04,113.97,114.3,113.85,0.13%
646,"Jul 11, 2017",113.94,114.05,114.51,113.72,-0.09%
645,"Jul 12, 2017",113.16,113.94,113.98,112.92,-0.68%
644,"Jul 13, 2017",113.28,113.16,113.53,112.86,0.11%
643,"Jul 14, 2017",112.53,113.29,113.6,112.27,-0.66%
642,"Jul 17, 2017",112.64,112.5,112.88,112.31,0.10%
641,"Jul 18, 2017",112.08,112.62,112.72,111.67,-0.50%
640,"Jul 19, 2017",111.97,112.08,112.25,111.56,-0.10%
639,"Jul 20, 2017",111.91,111.98,112.43,111.48,-0.05%
638,"Jul 21, 2017",111.12,111.92,112.09,111,-0.71%
637,"Jul 24, 2017",111.11,111.06,111.31,110.61,-0.01%
636,"Jul 25, 2017",111.89,111.08,111.96,110.81,0.70%
635,"Jul 26, 2017",111.17,111.89,112.2,111.06,-0.64%
634,"Jul 27, 2017",111.25,111.18,111.73,110.78,0.07%
633,"Jul 28, 2017",110.67,111.28,111.34,110.55,-0.52%
632,"Jul 31, 2017",110.25,110.64,110.78,110.19,-0.38%
631,"Aug 01, 2017",110.36,110.25,110.59,109.92,0.10%
630,"Aug 02, 2017",110.73,110.36,111,110.28,0.34%
629,"Aug 03, 2017",110.05,110.72,110.84,109.86,-0.61%
628,"Aug 04, 2017",110.69,110.03,111.06,109.83,0.58%
627,"Aug 07, 2017",110.75,110.61,110.92,110.61,0.05%
626,"Aug 08, 2017",110.31,110.73,110.83,110.23,-0.40%
625,"Aug 09, 2017",110.08,110.31,110.39,109.56,-0.21%
624,"Aug 10, 2017",109.22,110.08,110.19,109.14,-0.78%
623,"Aug 11, 2017",109.19,109.22,109.44,108.77,-0.03%
622,"Aug 14, 2017",109.64,109.06,109.81,109.03,0.41%
621,"Aug 15, 2017",110.67,109.64,110.86,109.59,0.94%
620,"Aug 16, 2017",110.19,110.67,110.95,110.02,-0.43%
619,"Aug 17, 2017",109.57,110.2,110.37,109.43,-0.56%
618,"Aug 18, 2017",109.19,109.58,109.61,108.61,-0.35%
617,"Aug 21, 2017",108.98,109.34,109.43,108.62,-0.19%
616,"Aug 22, 2017",109.57,108.97,109.65,108.87,0.54%
615,"Aug 23, 2017",109.03,109.56,109.83,108.92,-0.49%
614,"Aug 24, 2017",109.56,109.06,109.61,108.83,0.49%
613,"Aug 25, 2017",109.36,109.56,109.86,109.11,-0.18%
612,"Aug 28, 2017",109.25,109.26,109.42,109.03,-0.10%
611,"Aug 29, 2017",109.75,109.27,109.91,108.27,0.46%
610,"Aug 30, 2017",110.23,109.75,110.44,109.53,0.44%
609,"Aug 31, 2017",109.97,110.25,110.67,109.89,-0.24%
608,"Sep 01, 2017",110.27,109.97,110.42,109.56,0.27%
607,"Sep 04, 2017",109.74,109.4,109.94,109.31,-0.48%
606,"Sep 05, 2017",108.81,109.73,109.84,108.64,-0.85%
605,"Sep 06, 2017",109.23,108.81,109.41,108.45,0.39%
604,"Sep 07, 2017",108.45,109.23,109.28,108.06,-0.71%
603,"Sep 08, 2017",107.84,108.45,108.5,107.33,-0.56%
602,"Sep 11, 2017",109.41,108.2,109.52,108.14,1.46%
601,"Sep 12, 2017",110.17,109.42,110.27,109.25,0.69%
600,"Sep 13, 2017",110.48,110.19,110.7,109.92,0.28%
599,"Sep 14, 2017",110.23,110.48,111.03,110.08,-0.23%
598,"Sep 15, 2017",110.84,110.22,111.33,109.55,0.55%
597,"Sep 18, 2017",111.57,110.88,111.67,110.88,0.66%
596,"Sep 19, 2017",111.59,111.56,111.89,111.19,0.02%
595,"Sep 20, 2017",112.22,111.58,112.53,111.11,0.56%
594,"Sep 21, 2017",112.47,112.21,112.72,112.13,0.22%
593,"Sep 22, 2017",111.98,112.47,112.56,111.66,-0.44%
592,"Sep 25, 2017",111.73,111.98,112.53,111.47,-0.22%
591,"Sep 26, 2017",112.23,111.73,112.48,111.5,0.45%
590,"Sep 27, 2017",112.83,112.25,113.27,112.21,0.53%
589,"Sep 28, 2017",112.34,112.86,113.2,112.25,-0.43%
588,"Sep 29, 2017",112.49,112.35,112.74,112.21,0.13%
587,"Oct 02, 2017",112.77,112.56,113.06,112.44,0.25%
586,"Oct 03, 2017",112.86,112.75,113.2,112.64,0.08%
585,"Oct 04, 2017",112.75,112.86,112.94,112.33,-0.10%
584,"Oct 05, 2017",112.82,112.75,112.92,112.41,0.06%
583,"Oct 06, 2017",112.64,112.81,113.44,112.61,-0.16%
582,"Oct 09, 2017",112.67,112.69,112.75,112.32,0.03%
581,"Oct 10, 2017",112.45,112.67,112.83,112,-0.20%
580,"Oct 11, 2017",112.5,112.45,112.59,112.08,0.04%
579,"Oct 12, 2017",112.28,112.5,112.53,112.12,-0.20%
578,"Oct 13, 2017",111.86,112.28,112.33,111.69,-0.37%
577,"Oct 16, 2017",112.19,111.85,112.29,111.65,0.30%
576,"Oct 17, 2017",112.2,112.19,112.48,112.03,0.01%
575,"Oct 18, 2017",112.94,112.2,113.06,112.14,0.66%
574,"Oct 19, 2017",112.55,112.94,113.16,112.31,-0.35%
573,"Oct 20, 2017",113.52,112.53,113.58,112.52,0.86%
572,"Oct 23, 2017",113.44,113.69,114.11,113.25,-0.07%
571,"Oct 24, 2017",113.9,113.43,114.01,113.25,0.41%
570,"Oct 25, 2017",113.75,113.92,114.25,113.48,-0.13%
569,"Oct 26, 2017",113.98,113.75,114.08,113.34,0.20%
568,"Oct 27, 2017",113.69,113.98,114.45,113.64,-0.25%
567,"Oct 30, 2017",113.19,113.73,113.84,113.03,-0.44%
566,"Oct 31, 2017",113.64,113.17,113.73,112.97,0.40%
565,"Nov 01, 2017",114.17,113.64,114.3,113.61,0.47%
564,"Nov 02, 2017",114.09,114.17,114.22,113.53,-0.07%
563,"Nov 03, 2017",114.08,114.08,114.44,113.66,-0.01%
562,"Nov 06, 2017",113.7,114,114.74,113.7,-0.33%
561,"Nov 07, 2017",114.02,113.7,114.34,113.69,0.28%
560,"Nov 08, 2017",113.88,114,114.05,113.39,-0.12%
559,"Nov 09, 2017",113.47,113.86,114.08,113.09,-0.36%
558,"Nov 10, 2017",113.53,113.47,113.64,113.2,0.05%
557,"Nov 13, 2017",113.62,113.52,113.72,113.25,0.08%
556,"Nov 14, 2017",113.45,113.62,113.92,113.31,-0.15%
555,"Nov 15, 2017",112.88,113.47,113.5,112.47,-0.50%
554,"Nov 16, 2017",113.06,112.88,113.34,112.73,0.16%
553,"Nov 17, 2017",112.08,113.05,113.16,111.94,-0.87%
552,"Nov 20, 2017",112.62,112.08,112.72,111.88,0.48%
551,"Nov 21, 2017",112.44,112.62,112.72,112.17,-0.16%
550,"Nov 22, 2017",111.22,112.45,112.5,111.14,-1.09%
549,"Nov 23, 2017",111.22,111.21,111.38,111.06,0.00%
548,"Nov 24, 2017",111.55,111.22,111.64,111.19,0.30%
547,"Nov 27, 2017",111.09,111.41,111.69,110.83,-0.41%
546,"Nov 28, 2017",111.48,111.09,111.64,110.94,0.35%
545,"Nov 29, 2017",111.93,111.48,112.15,111.37,0.40%
544,"Nov 30, 2017",112.53,111.92,112.64,111.72,0.54%
543,"Dec 01, 2017",112.11,112.53,112.88,111.42,-0.37%
542,"Dec 04, 2017",112.42,112.41,113.09,112.36,0.28%
541,"Dec 05, 2017",112.59,112.41,112.88,112.38,0.15%
540,"Dec 06, 2017",112.3,112.59,112.67,112,-0.26%
539,"Dec 07, 2017",113.08,112.28,113.16,112.2,0.69%
538,"Dec 08, 2017",113.48,113.08,113.58,113.06,0.35%
537,"Dec 11, 2017",113.56,113.48,113.69,113.24,0.07%
536,"Dec 12, 2017",113.55,113.58,113.75,113.38,-0.01%
535,"Dec 13, 2017",112.55,113.56,113.58,112.47,-0.88%
534,"Dec 14, 2017",112.39,112.53,112.88,112.06,-0.14%
533,"Dec 15, 2017",112.58,112.39,112.75,112.03,0.17%
532,"Dec 18, 2017",112.55,112.64,112.85,112.32,-0.03%
531,"Dec 19, 2017",112.89,112.54,113.08,112.51,0.30%
530,"Dec 20, 2017",113.39,112.89,113.47,112.84,0.44%
529,"Dec 21, 2017",113.33,113.41,113.64,113.2,-0.05%
528,"Dec 22, 2017",113.27,113.32,113.45,113.25,-0.05%
527,"Dec 25, 2017",113.28,113.33,113.38,113.22,0.01%
526,"Dec 26, 2017",113.23,113.28,113.36,113.12,-0.04%
525,"Dec 27, 2017",113.36,113.25,113.39,113.14,0.11%
524,"Dec 28, 2017",112.89,113.36,113.36,112.67,-0.41%
523,"Dec 29, 2017",112.69,112.88,112.98,112.47,-0.18%
522,"Jan 01, 2018",112.66,112.67,112.69,112.64,-0.03%
521,"Jan 02, 2018",112.3,112.67,112.8,112.06,-0.32%
520,"Jan 03, 2018",112.5,112.3,112.61,112.17,0.18%
519,"Jan 04, 2018",112.75,112.5,112.87,112.46,0.22%
518,"Jan 05, 2018",113.08,112.75,113.32,112.72,0.29%
517,"Jan 08, 2018",113.09,113.06,113.39,112.89,0.01%
516,"Jan 09, 2018",112.66,113.11,113.19,112.36,-0.38%
515,"Jan 10, 2018",111.44,112.66,112.78,111.28,-1.08%
514,"Jan 11, 2018",111.25,111.44,111.89,111.05,-0.17%
513,"Jan 12, 2018",111.04,111.26,111.7,110.91,-0.19%
512,"Jan 15, 2018",110.54,111.07,111.2,110.32,-0.45%
511,"Jan 16, 2018",110.45,110.55,110.98,110.25,-0.08%
510,"Jan 17, 2018",111.28,110.44,111.34,110.19,0.75%
509,"Jan 18, 2018",111.11,111.3,111.5,110.7,-0.15%
508,"Jan 19, 2018",110.78,111.11,111.14,110.5,-0.30%
507,"Jan 22, 2018",110.92,110.62,111.23,110.52,0.13%
506,"Jan 23, 2018",110.31,110.92,111.19,110.25,-0.55%
505,"Jan 24, 2018",109.22,110.31,110.34,108.97,-0.99%
504,"Jan 25, 2018",109.41,109.22,109.7,108.5,0.17%
503,"Jan 26, 2018",108.72,109.42,109.78,108.28,-0.63%
502,"Jan 29, 2018",108.95,108.69,109.2,108.5,0.21%
501,"Jan 30, 2018",108.78,108.97,109.22,108.42,-0.16%
500,"Jan 31, 2018",109.19,108.78,109.45,108.58,0.38%
499,"Feb 01, 2018",109.41,109.19,109.75,109.09,0.20%
498,"Feb 02, 2018",110.11,109.41,110.48,109.28,0.64%
497,"Feb 05, 2018",109.11,110.11,110.31,108.98,-0.91%
496,"Feb 06, 2018",109.56,109.08,109.66,108.44,0.41%
495,"Feb 07, 2018",109.33,109.56,109.72,108.92,-0.21%
494,"Feb 08, 2018",108.75,109.31,109.78,108.58,-0.53%
493,"Feb 09, 2018",108.8,108.75,109.31,108.05,0.05%
492,"Feb 12, 2018",108.66,108.81,108.95,108.44,-0.13%
491,"Feb 13, 2018",107.83,108.64,108.78,107.39,-0.76%
490,"Feb 14, 2018",107.02,107.83,107.91,106.72,-0.75%
489,"Feb 15, 2018",106.12,107,107.03,106.03,-0.84%
488,"Feb 16, 2018",106.31,106.14,106.41,105.53,0.18%
487,"Feb 19, 2018",106.6,106.33,106.73,106.09,0.27%
486,"Feb 20, 2018",107.33,106.61,107.39,106.56,0.68%
485,"Feb 21, 2018",107.78,107.33,107.92,107.27,0.42%
484,"Feb 22, 2018",106.75,107.78,107.81,106.59,-0.96%
483,"Feb 23, 2018",106.89,106.75,107.14,106.48,0.13%
482,"Feb 26, 2018",106.94,106.84,107.3,106.38,0.05%
481,"Feb 27, 2018",107.33,106.94,107.69,106.78,0.36%
480,"Feb 28, 2018",106.67,107.33,107.53,106.55,-0.61%
479,"Mar 01, 2018",106.24,106.67,107.2,106.16,-0.40%
478,"Mar 02, 2018",105.75,106.23,106.31,105.25,-0.46%
477,"Mar 05, 2018",106.2,105.69,106.25,105.36,0.43%
476,"Mar 06, 2018",106.12,106.2,106.47,105.84,-0.08%
475,"Mar 07, 2018",106.08,106.12,106.22,105.44,-0.04%
474,"Mar 08, 2018",106.2,106.06,106.31,105.88,0.11%
473,"Mar 09, 2018",106.8,106.25,107.06,106.16,0.56%
472,"Mar 12, 2018",106.42,106.81,106.97,106.31,-0.36%
471,"Mar 13, 2018",106.58,106.42,107.31,106.25,0.15%
470,"Mar 14, 2018",106.33,106.56,106.75,106.05,-0.23%
469,"Mar 15, 2018",106.34,106.33,106.42,105.78,0.01%
468,"Mar 16, 2018",106.02,106.34,106.39,105.61,-0.30%
467,"Mar 19, 2018",106.09,105.95,106.31,105.67,0.07%
466,"Mar 20, 2018",106.53,106.08,106.61,105.92,0.41%
465,"Mar 21, 2018",106.06,106.53,106.64,105.88,-0.44%
464,"Mar 22, 2018",105.28,106.06,106.09,105.25,-0.74%
463,"Mar 23, 2018",104.74,105.29,105.36,104.64,-0.51%
462,"Mar 26, 2018",105.41,104.73,105.49,104.56,0.64%
461,"Mar 27, 2018",105.34,105.41,105.92,105.33,-0.07%
460,"Mar 28, 2018",106.86,105.33,107.02,105.31,1.44%
459,"Mar 29, 2018",106.43,106.85,106.93,106.25,-0.40%
458,"Mar 30, 2018",106.28,106.42,106.55,106.11,-0.14%
457,"Apr 02, 2018",105.89,106.25,106.45,105.66,-0.37%
456,"Apr 03, 2018",106.61,105.89,106.67,105.69,0.68%
455,"Apr 04, 2018",106.78,106.61,106.85,105.98,0.16%
454,"Apr 05, 2018",107.38,106.77,107.5,106.71,0.56%
453,"Apr 06, 2018",106.93,107.39,107.47,106.78,-0.42%
452,"Apr 09, 2018",106.77,106.92,107.22,106.61,-0.15%
451,"Apr 10, 2018",107.2,106.81,107.41,106.61,0.40%
450,"Apr 11, 2018",106.8,107.2,107.25,106.64,-0.37%
449,"Apr 12, 2018",107.33,106.8,107.44,106.69,0.50%
448,"Apr 13, 2018",107.34,107.33,107.78,107.19,0.01%
447,"Apr 16, 2018",107.11,107.38,107.62,107.03,-0.21%
446,"Apr 17, 2018",107,107.12,107.22,106.86,-0.10%
445,"Apr 18, 2018",107.23,106.98,107.39,106.98,0.21%
444,"Apr 19, 2018",107.38,107.23,107.53,107.17,0.14%
443,"Apr 20, 2018",107.67,107.38,107.86,107.36,0.27%
442,"Apr 23, 2018",108.71,107.63,108.76,107.63,0.97%
441,"Apr 24, 2018",108.82,108.7,109.2,108.54,0.10%
440,"Apr 25, 2018",109.42,108.81,109.47,108.8,0.55%
439,"Apr 26, 2018",109.31,109.42,109.47,109.06,-0.10%
438,"Apr 27, 2018",109.05,109.31,109.55,108.97,-0.24%
437,"Apr 30, 2018",109.33,109,109.45,109,0.26%
436,"May 01, 2018",109.86,109.34,109.89,109.23,0.48%
435,"May 02, 2018",109.84,109.86,110.03,109.58,-0.02%
434,"May 03, 2018",109.19,109.83,109.89,108.94,-0.59%
433,"May 04, 2018",109.12,109.19,109.28,108.64,-0.06%
432,"May 07, 2018",109.09,109.12,109.41,108.75,-0.03%
431,"May 08, 2018",109.12,109.08,109.36,108.83,0.03%
430,"May 09, 2018",109.75,109.11,109.83,108.97,0.58%
429,"May 10, 2018",109.39,109.75,110.03,109.31,-0.33%
428,"May 11, 2018",109.39,109.41,109.58,109.14,0.00%
427,"May 14, 2018",109.66,109.39,109.67,109.2,0.25%
426,"May 15, 2018",110.35,109.66,110.46,109.65,0.63%
425,"May 16, 2018",110.39,110.34,110.41,110.02,0.04%
424,"May 17, 2018",110.77,110.39,110.86,110.06,0.34%
423,"May 18, 2018",110.75,110.78,111.08,110.61,-0.02%
422,"May 21, 2018",111.06,110.72,111.41,110.72,0.28%
421,"May 22, 2018",110.89,111.06,111.19,110.8,-0.15%
420,"May 23, 2018",110.08,110.9,110.93,109.54,-0.73%
419,"May 24, 2018",109.25,110.08,110.11,108.95,-0.75%
418,"May 25, 2018",109.39,109.25,109.75,109.11,0.13%
417,"May 28, 2018",109.42,109.56,109.83,109.23,0.03%
