order,Date,Price,Open,High,Low,Vol.,Change %
1095,"Jan 01, 2017",995.4,963.4,"1,001.60",956.1,41.15K,3.33%
1094,"Jan 02, 2017","1,017.00",995.4,"1,031.70",990.2,64.95K,2.17%
1093,"Jan 03, 2017","1,033.30","1,017.00","1,035.50","1,006.50",54.79K,1.60%
1092,"Jan 04, 2017","1,135.40","1,033.30","1,148.50","1,022.30",156.27K,9.88%
1091,"Jan 05, 2017",989.3,"1,135.40","1,150.60",874.5,240.01K,-12.86%
1090,"Jan 06, 2017",886.2,989.3,"1,027.40",852.5,194.29K,-10.43%
1089,"Jan 07, 2017",888.9,886.2,900.9,806.7,130.66K,0.31%
1088,"Jan 08, 2017",900.9,888.9,936.1,875.8,76.91K,1.35%
1087,"Jan 09, 2017",899.8,900.9,910.5,870.9,62.58K,-0.12%
1086,"Jan 10, 2017",904.4,899.8,911.3,890.1,53.71K,0.51%
1085,"Jan 11, 2017",785.4,904.4,917.7,751.6,194.44K,-13.15%
1084,"Jan 12, 2017",810.1,785.4,828.2,739.5,120.24K,3.14%
1083,"Jan 13, 2017",824.8,810.1,835,771,89.86K,1.82%
1082,"Jan 14, 2017",819.6,824.8,838.9,808.3,44.21K,-0.63%
1081,"Jan 15, 2017",821.2,819.6,826.4,808.6,24.40K,0.19%
1080,"Jan 16, 2017",827.3,821.2,836.7,817.7,33.22K,0.75%
1079,"Jan 17, 2017",899.7,827.3,906.4,825,82.21K,8.74%
1078,"Jan 18, 2017",872,899.7,913.7,845.9,69.26K,-3.07%
1077,"Jan 19, 2017",895.2,872,905.3,870.7,58.44K,2.66%
1076,"Jan 20, 2017",892.9,895.2,901.5,878.9,38.87K,-0.26%
1075,"Jan 21, 2017",919.8,892.9,928.9,889.5,40.38K,3.02%
1074,"Jan 22, 2017",918.8,919.8,938.4,888.6,47.93K,-0.11%
1073,"Jan 23, 2017",921.5,918.8,928,910.8,32.74K,0.29%
1072,"Jan 24, 2017",893.8,921.5,925.6,889.2,58.87K,-3.01%
1071,"Jan 25, 2017",894.4,893.8,905.7,883.6,37.90K,0.07%
1070,"Jan 26, 2017",915.6,894.4,919.3,893.5,33.80K,2.36%
1069,"Jan 27, 2017",918,915.6,922.6,907.9,30.97K,0.27%
1068,"Jan 28, 2017",918.5,918,921.9,912.8,14.31K,0.05%
1067,"Jan 29, 2017",914.5,918.5,922.4,912.7,11.05K,-0.43%
1066,"Jan 30, 2017",920.7,914.5,922.3,911.5,19.06K,0.68%
1065,"Jan 31, 2017",965.5,920.7,967.5,917.4,54.67K,4.86%
1064,"Feb 01, 2017",982.4,965.5,986.6,959.8,45.22K,1.75%
1063,"Feb 02, 2017","1,004.00",982.4,"1,009.10",973.5,50.86K,2.19%
1062,"Feb 03, 2017","1,013.00","1,004.00","1,023.70",989.2,61.67K,0.90%
1061,"Feb 04, 2017","1,031.80","1,013.00","1,041.00","1,000.40",39.46K,1.86%
1060,"Feb 05, 2017","1,016.10","1,031.80","1,033.70","1,004.00",31.06K,-1.53%
1059,"Feb 06, 2017","1,024.70","1,016.10","1,030.60","1,010.80",32.02K,0.84%
1058,"Feb 07, 2017","1,049.60","1,024.70","1,054.10","1,019.90",39.55K,2.43%
1057,"Feb 08, 2017","1,055.50","1,049.60","1,069.20","1,020.30",65.15K,0.56%
1056,"Feb 09, 2017",979,"1,055.50","1,073.00",924.7,146.75K,-7.25%
1055,"Feb 10, 2017",997.6,979,"1,005.60",947,62.13K,1.91%
1054,"Feb 11, 2017","1,008.30",997.6,"1,014.30",983.9,28.32K,1.07%
1053,"Feb 12, 2017",996.5,"1,008.30","1,007.80",992.5,14.75K,-1.17%
1052,"Feb 13, 2017",995.4,996.5,"1,007.60",975.1,32.91K,-0.12%
1051,"Feb 14, 2017","1,008.30",995.4,"1,013.80",986.5,39.54K,1.30%
1050,"Feb 15, 2017","1,008.20","1,008.30","1,010.90",999.7,23.36K,-0.01%
1049,"Feb 16, 2017","1,031.90","1,008.20","1,040.30","1,007.40",38.08K,2.35%
1048,"Feb 17, 2017","1,049.40","1,031.90","1,057.40","1,025.90",45.71K,1.69%
1047,"Feb 18, 2017","1,052.30","1,049.40","1,063.20","1,044.70",25.36K,0.27%
1046,"Feb 19, 2017","1,048.90","1,052.30","1,056.50","1,037.70",17.95K,-0.32%
1045,"Feb 20, 2017","1,077.60","1,048.90","1,081.80","1,041.00",31.01K,2.73%
1044,"Feb 21, 2017","1,119.00","1,077.60","1,123.00","1,073.50",57.05K,3.85%
1043,"Feb 22, 2017","1,120.50","1,119.00","1,132.30","1,094.80",47.91K,0.13%
1042,"Feb 23, 2017","1,171.90","1,120.50","1,181.60","1,113.50",65.74K,4.59%
1041,"Feb 24, 2017","1,176.50","1,171.90","1,211.70","1,092.40",108.17K,0.39%
1040,"Feb 25, 2017","1,149.10","1,176.50","1,180.00","1,116.20",45.86K,-2.33%
1039,"Feb 26, 2017","1,171.60","1,149.10","1,177.50","1,130.60",30.77K,1.96%
1038,"Feb 27, 2017","1,188.80","1,171.60","1,195.80","1,164.30",35.47K,1.47%
1037,"Feb 28, 2017","1,189.30","1,188.80","1,208.20","1,175.80",50.58K,0.04%
1036,"Mar 01, 2017","1,222.70","1,189.30","1,225.00","1,154.60",51.15K,2.81%
1035,"Mar 02, 2017","1,255.50","1,222.70","1,287.00","1,212.00",78.49K,2.68%
1034,"Mar 03, 2017","1,283.30","1,255.50","1,291.30","1,250.80",67.28K,2.22%
1033,"Mar 04, 2017","1,264.30","1,283.30","1,285.80","1,228.70",38.42K,-1.48%
1032,"Mar 05, 2017","1,271.20","1,264.30","1,273.30","1,242.10",25.43K,0.55%
1031,"Mar 06, 2017","1,277.00","1,271.20","1,280.60","1,261.00",31.03K,0.46%
1030,"Mar 07, 2017","1,232.70","1,277.00","1,280.90","1,148.70",87.72K,-3.47%
1029,"Mar 08, 2017","1,147.00","1,232.70","1,242.00","1,136.90",97.88K,-6.95%
1028,"Mar 09, 2017","1,191.30","1,147.00","1,207.00","1,129.30",59.86K,3.87%
1027,"Mar 10, 2017","1,112.40","1,191.30","1,330.40",988.7,190.47K,-6.63%
1026,"Mar 11, 2017","1,179.20","1,112.40","1,202.70","1,104.80",70.75K,6.01%
1025,"Mar 12, 2017","1,225.10","1,179.20","1,235.50","1,160.90",44.41K,3.89%
1024,"Mar 13, 2017","1,238.20","1,225.10","1,245.60","1,205.60",60.46K,1.07%
1023,"Mar 14, 2017","1,243.10","1,238.20","1,255.50","1,218.40",45.14K,0.40%
1022,"Mar 15, 2017","1,253.40","1,243.10","1,256.90","1,236.40",43.59K,0.83%
1021,"Mar 16, 2017","1,172.90","1,253.40","1,260.20","1,119.00",132.77K,-6.43%
1020,"Mar 17, 2017","1,071.70","1,172.90","1,174.90","1,063.50",163.74K,-8.63%
1019,"Mar 18, 2017",971.4,"1,071.70","1,103.60",940.2,210.42K,-9.36%
1018,"Mar 19, 2017","1,022.60",971.4,"1,063.70",967.3,106.45K,5.27%
1017,"Mar 20, 2017","1,047.50","1,022.60","1,057.50","1,005.00",61.43K,2.44%
1016,"Mar 21, 2017","1,121.30","1,047.50","1,125.50","1,043.90",92.59K,7.04%
1015,"Mar 22, 2017","1,044.70","1,121.30","1,121.90",997.8,115.29K,-6.83%
1014,"Mar 23, 2017","1,035.00","1,044.70","1,062.80","1,022.00",56.52K,-0.93%
1013,"Mar 24, 2017",939.7,"1,035.00","1,038.40",927.3,132.60K,-9.21%
1012,"Mar 25, 2017",966.3,939.7,996,890.4,127.05K,2.83%
1011,"Mar 26, 2017",969.4,966.3,"1,004.30",946.7,85.33K,0.32%
1010,"Mar 27, 2017","1,045.10",969.4,"1,048.80",961.8,91.26K,7.81%
1009,"Mar 28, 2017","1,044.40","1,045.10","1,068.40","1,015.50",80.00K,-0.07%
1008,"Mar 29, 2017","1,041.90","1,044.40","1,058.70","1,008.30",68.85K,-0.24%
1007,"Mar 30, 2017","1,037.90","1,041.90","1,052.70","1,020.90",74.99K,-0.38%
1006,"Mar 31, 2017","1,079.10","1,037.90","1,088.20","1,035.20",90.99K,3.97%
1005,"Apr 01, 2017","1,086.10","1,079.10","1,103.70","1,067.50",50.66K,0.65%
1004,"Apr 02, 2017","1,097.40","1,086.10","1,109.50","1,074.20",70.98K,1.04%
1003,"Apr 03, 2017","1,147.60","1,097.40","1,157.90","1,095.60",98.50K,4.57%
1002,"Apr 04, 2017","1,141.80","1,147.60","1,161.20","1,122.20",71.00K,-0.50%
1001,"Apr 05, 2017","1,129.90","1,141.80","1,143.80","1,110.10",69.47K,-1.04%
1000,"Apr 06, 2017","1,188.70","1,129.90","1,201.60","1,130.50",92.36K,5.21%
999,"Apr 07, 2017","1,190.50","1,188.70","1,201.20","1,173.20",59.75K,0.15%
998,"Apr 08, 2017","1,180.80","1,190.50","1,198.20","1,166.70",33.18K,-0.82%
997,"Apr 09, 2017","1,204.30","1,180.80","1,215.10","1,174.00",45.35K,2.00%
996,"Apr 10, 2017","1,206.70","1,204.30","1,214.90","1,194.80",40.01K,0.20%
995,"Apr 11, 2017","1,220.70","1,206.70","1,229.60","1,195.80",37.40K,1.16%
994,"Apr 12, 2017","1,212.50","1,220.70","1,225.50","1,207.40",44.78K,-0.67%
993,"Apr 13, 2017","1,176.20","1,212.50","1,218.70","1,150.30",66.05K,-3.00%
992,"Apr 14, 2017","1,177.30","1,176.20","1,195.40","1,162.20",47.22K,0.10%
991,"Apr 15, 2017","1,177.00","1,177.30","1,194.80",841.5,28.39K,-0.03%
